,amount_of_loan,interest_rate,time_to_repay,simple_interest,cibil_score,past_debt_to_repay,profit_percentage_last_year,competition_scale,sustainability,startup,management_effectivity,Total_Revenue
435,4836771,10,3,0,620,671393,17,4,0,1,1,9653520
436,6505751,10,1,1,447,4240193,47,4,1,1,1,5784520
437,1233459,6,1,1,767,628632,4,6,0,1,0,7458045
438,6899468,6,7,1,591,1044644,15,9,0,0,1,10170360
439,3023337,9,4,0,703,2472399,27,3,0,0,1,8578230
440,6173247,10,2,1,861,2116093,22,4,1,0,1,12089165
441,3014481,8,5,0,434,2860538,19,10,1,0,0,11006940
442,2448192,12,8,0,519,2644237,5,5,0,0,0,5433390
443,3991638,7,8,0,546,402850,35,2,0,0,1,10205035
444,4411579,6,1,0,558,2309886,16,8,0,1,1,10345195
445,8652108,14,5,0,488,2295875,47,3,1,1,1,15391320
446,5860672,12,3,0,826,1271675,14,3,1,1,1,10078380
447,8435920,11,5,0,441,3395243,46,9,0,0,1,7865020
448,2029990,9,5,1,341,4049091,17,2,0,1,0,10201020
449,4500185,9,2,1,373,143902,4,3,0,1,0,9046160
450,5832428,8,4,1,516,3858339,0,5,0,0,1,10609090
451,5707623,14,1,1,640,194654,46,3,1,0,1,10960950
452,1267150,10,4,1,726,2711095,8,6,0,1,1,9345825
453,4639603,13,8,0,627,3965933,26,8,1,0,0,5367325
454,9364254,11,6,0,714,461424,44,1,1,0,0,9429045
455,8806728,13,9,0,825,74774,24,4,0,0,0,9378675
456,6614267,6,1,0,695,3445269,12,9,1,0,1,12365470
457,1202406,8,5,0,771,583587,20,3,1,1,0,7740920
458,9875803,14,9,0,687,1883718,30,7,1,0,1,6783160
459,783907,11,4,0,693,457567,30,5,1,1,0,9349110
460,1220899,11,6,1,460,699591,48,2,0,0,1,12886325
461,9860836,7,1,0,566,943560,4,4,1,0,0,9869965
462,5256873,9,7,0,769,2036426,11,8,0,1,0,6990480
463,1261186,12,5,0,453,4206852,13,4,0,1,0,8549760
464,5311619,14,9,1,887,4866073,15,8,0,1,1,9901720
465,5529581,7,1,0,580,3240158,48,8,0,1,0,8442450
466,831780,14,4,0,396,2282915,21,7,0,1,1,10120720
467,4876610,12,3,1,688,2196834,8,2,1,1,1,9523215
468,6352951,14,7,1,794,534898,43,10,0,0,1,8207025
469,8017475,8,4,0,771,3964712,39,8,1,1,1,8626410
470,2229018,13,7,1,840,1262298,1,4,1,1,1,11750810
471,2767593,12,6,1,765,919268,4,1,1,1,0,9456785
472,8311745,6,1,1,339,1447420,23,4,1,1,1,8305940
473,5883483,10,3,1,500,1241262,19,1,1,0,0,9484525
474,3461010,14,2,0,862,3326170,34,5,0,0,1,12230055
475,3010291,6,3,0,330,3565585,38,2,0,0,0,4423800
476,7043088,10,9,0,621,884105,47,3,1,1,0,6248435
477,8533987,9,3,1,775,3656139,30,3,0,1,1,9390355
478,678938,7,6,1,329,1517264,43,10,1,0,1,11290910
479,4352520,7,4,0,838,1080147,36,7,0,1,1,12209250
480,8380458,9,8,1,876,3103076,24,4,0,0,1,11096000
481,4931060,11,8,1,427,445610,31,5,1,0,0,14768265
482,701400,13,8,1,593,3132601,42,1,0,0,0,8340980
483,4374819,14,6,0,446,838792,3,2,1,0,1,7226270
484,6866084,14,4,0,814,610548,37,1,1,0,0,10128750
485,730965,7,5,1,588,434268,22,4,0,1,0,6595915
486,7137686,11,6,0,815,3796860,44,7,1,0,1,7377745
487,5633398,7,3,0,396,4526850,4,8,0,0,0,5419520
488,2420820,12,8,1,669,1169709,39,2,0,1,0,12145740
489,9145317,8,5,0,345,1926934,37,10,1,1,1,8984110
490,7277371,14,5,1,353,674989,23,6,1,0,0,13821820
491,8129394,7,6,1,366,4569152,48,7,0,0,1,9827990
492,3195910,8,4,1,538,1108868,43,4,1,1,0,6609420
493,5566188,6,4,0,409,4275878,3,5,0,1,1,9208950
494,8965744,12,4,0,733,4357759,23,6,0,1,0,11814320
495,4913338,9,3,1,694,3160057,38,10,1,1,0,8988855
496,6215638,9,7,1,329,3185701,15,1,1,1,1,9755355
497,7764355,14,9,0,478,1817824,26,10,0,1,0,13763420
498,3183976,9,4,0,861,1371952,17,5,1,1,1,8363975
499,3547236,9,6,1,321,857880,43,8,0,1,1,7444175
500,7656201,12,5,0,487,4277229,17,3,0,1,0,6968580
501,2962974,10,3,0,834,4712516,35,10,1,0,0,15054790
502,892135,11,5,0,751,3351025,21,5,1,0,0,7380300
503,4959379,10,4,0,657,2475574,37,6,0,0,1,8764380
504,8418030,7,4,1,377,4415836,10,2,0,0,1,6023230
505,2551776,12,3,1,349,1205055,1,6,0,0,1,9994430
506,8727613,8,1,0,326,3497777,32,8,1,0,1,9130840
507,5643744,13,8,1,574,3639156,9,9,0,1,0,8935565
508,7419692,9,1,1,342,1512834,34,6,0,1,1,7950430
509,2140812,7,9,1,605,1474745,32,2,0,0,0,8711455
510,4259870,8,2,1,551,1151769,7,9,1,0,0,8968780
511,2893851,12,1,1,510,2509714,5,1,1,0,1,5788900
512,6647174,7,3,0,317,3511690,25,6,1,1,1,13083060
513,8070089,14,4,0,694,923108,33,5,1,0,1,11544220
514,6114770,13,5,0,602,220874,24,7,1,0,1,7325550
515,7711027,7,2,0,746,646512,1,4,1,1,0,7611710
516,2873905,6,4,0,829,1613304,43,5,0,0,0,10328040
517,9253977,9,7,0,334,1539889,40,6,1,0,0,12469130
518,5711066,12,5,0,308,4867266,4,4,0,1,0,9581615
519,5729567,9,2,0,766,4439727,0,2,1,1,0,12110700
520,2279809,13,4,1,775,4128485,27,10,0,0,1,6544450
521,3908252,14,3,0,849,3719406,10,6,0,0,0,13096930
522,3665350,10,7,0,630,48079,42,5,1,1,1,11176300
523,1097324,11,5,1,454,2101556,17,4,0,0,0,9286695
524,4069793,10,8,0,595,3625271,18,10,0,0,0,9414810
525,9629207,6,2,0,848,2047454,38,4,0,1,0,11241270
526,526502,11,5,1,706,2613340,44,1,0,0,1,6646285
527,997254,9,2,1,725,2586539,7,9,0,0,0,7071510
528,8763521,10,8,0,535,3950872,41,6,1,1,0,15900860
529,8331470,13,9,0,407,2527316,20,4,1,0,0,5231910
530,9427875,9,6,1,785,646332,41,1,1,0,0,5522450
531,5931128,6,7,1,443,1207285,16,7,1,0,0,12503805
532,1742915,9,1,1,326,3069303,29,2,0,0,1,10896345
533,8067488,12,3,1,434,523775,43,9,1,0,1,8541000
534,5852444,14,8,1,334,426027,18,8,1,0,0,7726685
535,6315053,9,7,1,546,4563760,22,4,0,0,0,11326680
536,4752160,10,4,1,501,2959922,27,2,1,1,1,8916950
537,2670745,11,7,1,802,872751,10,10,1,1,1,6922590
538,1303224,11,9,1,360,879842,10,9,0,1,1,8085480
539,7440023,8,9,0,773,1700995,29,4,1,0,0,9360790
540,2062653,11,6,1,669,1552425,48,1,1,1,0,9182305
541,7297481,10,9,1,370,1122502,18,6,0,1,0,10849260
542,6525344,12,9,1,391,4527936,31,9,0,1,1,11134690
543,1779374,6,7,0,474,3706145,18,3,0,1,1,10710925
544,5502958,13,5,1,462,4878233,20,7,0,1,0,10055020
545,7206310,12,9,1,634,3479919,32,4,0,1,1,7702960
546,4786225,12,7,1,635,3956186,29,2,1,0,1,10687200
547,4013138,9,7,1,653,2706537,37,4,0,0,0,8429310
548,9485802,9,9,0,476,1017641,26,3,0,1,1,11073005
549,756897,10,2,1,514,830468,49,9,0,0,0,8450845
550,7635047,8,2,0,519,3012621,48,4,1,1,0,10233505
551,9820968,11,1,1,427,1103677,8,4,0,0,1,9660090
552,6385972,10,1,1,728,1632737,44,9,0,1,0,6997050
553,1749266,7,1,1,610,2187801,26,3,1,1,1,7173710
554,2563928,8,2,1,717,4890150,45,9,1,1,0,6065205
555,2879088,12,5,1,879,3096700,18,2,1,1,0,8807815
556,3139665,11,6,0,625,3428023,34,7,1,0,0,7009460
557,7012548,7,7,0,732,300756,41,10,0,1,0,11369750
558,2517953,10,2,1,754,3931376,24,7,1,1,0,13511205
559,3643374,12,8,0,541,3446105,48,7,0,0,1,12490300
560,9728191,14,2,0,375,158964,48,2,0,0,1,7575940
561,7551533,12,9,1,329,3531281,10,4,0,1,0,4454460
562,5551284,13,3,0,425,2756988,24,9,1,1,0,8895050
563,8598590,13,7,1,551,1981912,32,2,1,1,1,10332785
564,3873525,6,1,1,831,1198413,21,8,0,1,0,7461330
565,9561647,8,1,0,750,4192360,41,5,0,0,1,13783130
566,8932576,14,7,1,729,4537769,38,10,1,1,1,11735480
567,8358053,14,3,1,356,2109737,32,10,0,1,0,8773140
568,5412094,10,4,1,716,142020,2,8,1,0,1,11032490
569,6608885,7,5,0,560,3740219,9,8,1,0,1,10929195
570,725354,9,5,1,819,1600865,16,9,0,0,0,7711720
571,1288712,8,3,1,509,1213398,11,2,1,1,1,6954345
572,1497780,12,5,1,835,950547,9,1,0,0,0,12545050
573,7721808,12,2,0,866,3996040,25,2,1,0,0,6952155
574,5880885,7,3,0,871,948924,35,8,1,1,0,9834195
575,4153385,8,8,1,546,1753404,46,9,0,1,1,7188675
576,8306808,10,9,0,517,4512905,8,4,0,1,0,8153370
577,2133842,11,5,1,448,1774934,38,5,0,0,0,7924150
578,787894,7,4,0,403,413138,29,8,1,1,0,7477755
579,2343264,8,2,0,570,334598,21,9,1,1,0,8938850
580,4590746,14,9,0,852,1834200,32,5,1,0,0,9596580
581,6067797,8,1,0,638,2584112,33,8,0,0,0,14826665
582,7019347,9,7,0,774,2647684,14,9,0,0,0,9185590
583,3603140,13,8,1,369,2446077,25,7,1,1,0,7903710
584,7735398,9,7,1,604,2538349,30,7,0,1,1,6168500
585,5267966,13,3,1,850,771593,19,3,1,1,0,7497830
586,5055329,9,9,0,839,145673,7,2,0,1,0,9868140
587,3144610,10,3,0,573,4877554,48,6,0,1,1,11077750
588,7826930,9,8,0,421,2906386,10,5,0,0,1,9274285
589,1117791,11,8,1,699,3133201,9,10,1,0,1,9286330
590,4440174,13,8,0,755,3129119,5,5,0,1,0,12843985
591,7495554,6,3,1,713,3220783,8,9,1,1,0,10478420
592,9310457,14,1,1,717,4605604,23,10,1,1,1,9041050
593,2838581,9,8,1,796,378249,22,1,0,1,1,9805725
594,7678363,7,8,1,554,2072635,3,1,0,0,0,5735245
595,2198830,10,9,1,617,4119271,0,9,1,1,0,10093710
596,1277088,8,5,1,541,2202801,21,3,1,0,0,10954745
597,9167927,10,3,0,877,2526915,15,4,1,1,0,7896410
598,7920201,10,6,1,779,1934130,5,7,0,0,0,8765840
599,1336735,12,4,1,419,2873730,22,3,0,0,0,15824210
600,8438207,8,5,0,704,4739,33,3,1,1,1,6938285
601,2293792,11,4,1,843,1978336,32,10,0,0,1,12551620
602,5906489,11,9,1,356,3415894,48,4,0,0,1,9752800
603,4827628,14,8,1,763,4583551,26,8,1,0,0,10814220
604,1581725,13,2,0,388,1403454,45,6,1,0,1,9059300
605,5314238,9,3,1,620,3098130,38,10,0,1,1,12703825
606,3906201,13,5,0,655,4606221,4,8,0,0,0,9037765
607,4228960,6,3,0,715,4772330,30,9,0,0,0,7665000
608,8742181,9,4,0,364,1897663,43,2,1,0,1,7121515
609,4007312,6,1,1,500,2106826,18,2,0,1,1,11150750
610,6285762,9,8,0,594,1945409,49,10,0,0,0,5072770
611,9707965,11,4,0,514,1201277,49,10,1,0,1,11385445
612,2170468,12,5,1,858,4880065,13,2,1,1,1,8752700
613,8042780,10,1,1,604,1326539,15,4,0,0,0,8350835
614,760767,9,3,1,838,1073728,10,10,1,1,1,6870760
615,6319591,8,5,0,399,2591195,22,10,0,1,0,12857125
616,4921582,12,7,1,452,1158612,38,6,0,0,0,8935200
617,3247937,10,2,1,680,1359178,35,3,0,0,0,14132800
618,1551956,12,2,1,892,2372315,49,5,1,1,1,10153935
619,9119557,7,3,1,724,871181,2,10,0,0,1,10931750
620,894935,7,5,0,314,810918,48,3,0,0,0,6343700
621,1611353,11,2,1,495,670450,20,8,1,1,1,9767400
622,8411783,8,5,1,391,3311107,26,2,0,1,1,9849160
623,1316774,8,7,1,791,845506,47,3,1,0,0,10255770
624,7821464,14,8,1,332,4398910,34,5,1,0,0,9348380
625,2303011,11,7,0,390,2654837,13,5,0,1,1,6564160
626,2099935,8,5,1,437,383994,37,4,0,1,0,8686635
627,5793041,14,6,1,736,4777870,23,2,1,1,0,4924945
628,1047270,11,8,1,313,2562618,9,3,1,0,1,9952820
629,679029,9,2,1,789,609181,38,6,0,1,0,11811035
630,1993876,8,2,0,745,2454705,44,7,1,1,0,12326050
631,9851973,9,8,1,587,1825434,7,5,0,1,1,6085280
632,7171897,6,5,1,819,1341367,21,5,0,1,1,7740920
633,6856994,8,9,1,348,4954741,23,2,0,1,1,5368420
634,9819941,11,3,0,590,1976918,45,9,1,0,1,5658960
635,893957,6,4,1,853,1745079,5,6,0,0,0,9363710
636,8244542,12,6,0,505,1989845,31,3,1,0,0,9781270
637,3791016,10,1,0,809,4810135,21,2,0,0,0,10810570
638,2535128,14,4,1,601,262055,37,1,0,1,0,10493385
639,3961567,12,8,0,694,2005822,25,8,0,1,0,10836120
640,2710733,12,6,1,898,1620111,20,2,0,1,0,10916055
641,7442564,10,5,0,433,3725431,30,2,1,0,1,13937525
642,4911414,10,4,1,827,4295920,7,2,1,0,1,6668185
643,5380518,9,3,1,720,4808484,10,5,1,0,1,9977275
644,1763503,12,8,0,412,2335597,36,5,1,0,1,7154730
645,3732999,6,1,1,872,133870,4,5,0,0,1,10033485
646,5654219,8,3,0,809,4390403,2,5,0,0,0,8046425
647,4742428,11,1,0,702,1764290,7,1,0,0,1,12264000
648,8655627,7,4,1,335,2911941,43,7,1,1,0,7406580
649,4859212,11,3,1,408,1668095,34,3,0,1,1,9852810
650,9904729,9,5,0,560,1457977,18,3,1,0,1,7943130
651,6476170,10,1,0,653,53447,35,3,0,0,0,12994365
652,9051993,14,8,1,707,3101560,9,1,0,1,0,10596680
653,1498401,13,4,0,638,2547854,44,4,1,1,0,6832800
654,5939126,8,9,1,382,4898107,5,7,0,1,0,8835920
655,5049632,9,4,1,845,3274687,16,8,0,1,1,6907990
656,4940378,10,7,0,398,2603133,36,9,1,1,0,6220695
657,6698262,8,9,1,383,1295907,20,9,0,0,0,8917680
658,8968271,12,5,1,489,394747,40,7,0,0,0,9911575
659,6041834,14,8,1,495,1106198,46,7,0,0,1,13103500
660,7632174,7,3,1,426,512567,40,5,1,1,1,9957930
661,7538407,10,6,0,882,1342443,37,10,0,0,0,10982850
662,1827003,14,5,1,684,3429110,24,8,1,1,1,9584900
663,4553136,14,7,1,497,3479683,11,2,1,0,1,8500850
664,5176414,11,8,1,475,999913,49,5,0,1,0,9508250
665,5840280,11,8,1,644,2338028,12,6,1,0,1,8350470
666,3038226,8,2,1,878,2453451,48,9,1,1,1,11273025
667,2452053,10,2,0,692,131318,36,3,1,0,0,8604145
668,3547693,13,1,0,328,3086743,29,6,0,0,1,10792685
669,3840551,13,9,1,803,915820,8,8,1,1,1,9623225
670,5189981,10,7,0,485,77145,43,2,1,0,0,10494845
671,2515941,7,6,1,574,1812265,49,5,1,1,0,7640910
672,7162753,8,1,1,612,4436483,17,5,0,0,0,10628435
673,8248742,10,6,1,311,175963,41,5,0,0,1,9511900
674,2694004,13,9,0,889,594512,14,7,0,0,1,7969410
675,6757805,7,2,1,340,2538428,47,2,0,1,1,8434420
676,4553377,7,9,0,505,294895,17,10,1,1,1,9990050
677,2910275,6,2,0,443,3968219,30,7,0,0,1,4967650
678,4768333,10,9,1,514,133749,2,7,0,0,1,9369915
679,2326552,13,7,0,324,2089064,11,4,0,1,0,9318815
680,5740781,13,3,1,428,2095547,48,6,0,0,1,11963605
681,555696,9,7,1,446,3510894,35,4,0,0,1,5907160
682,8395352,10,9,1,502,4338983,24,1,1,1,1,16394340
683,1699014,9,6,0,882,4166406,39,1,0,0,1,10493385
684,2042718,10,9,0,611,3170331,42,8,1,1,1,6576205
685,2624775,9,8,1,436,2742808,1,1,1,1,0,7617550
686,6051406,7,3,1,622,2419038,18,7,1,0,0,8295720
687,9791517,10,4,0,613,4157810,5,6,0,0,0,9617750
688,2071404,6,1,1,585,1477261,36,5,1,0,0,11803005
689,6176724,14,7,0,644,4987645,22,5,1,1,1,9898800
690,9048414,14,3,0,833,29193,41,9,1,0,0,9451310
691,8049969,10,7,1,416,3140627,25,6,1,1,0,13660855
692,569449,6,3,1,682,4210910,15,3,0,0,1,10409070
693,531303,13,4,0,677,3370020,11,6,1,0,0,6518170
694,3091719,8,1,1,529,4642191,30,5,0,0,1,6889375
695,2458096,8,5,1,669,2913217,46,2,0,1,1,14204340
696,6634799,11,2,1,363,3543539,44,7,0,0,1,7307300
697,6714322,10,2,0,375,2990041,46,8,1,1,0,10576605
698,3774276,11,3,1,528,3285893,34,10,0,0,1,8050805
699,6521724,14,8,0,765,4131849,9,8,0,1,1,9803170
700,4497519,11,4,0,680,1401706,35,9,1,1,0,7364970
701,8462325,6,2,1,499,365179,49,8,0,1,0,8060660
702,2919618,11,8,0,338,4572158,0,6,0,0,0,10006840
703,2454576,6,3,1,716,2324555,8,4,1,0,1,10336070
704,6047488,8,4,1,878,4788773,45,3,1,1,0,7510970
705,4103115,8,4,1,863,2745993,31,7,0,0,0,12401240
706,755148,6,1,1,596,1516565,24,2,1,0,1,12545415
707,1531586,13,9,1,777,3706222,16,2,0,0,0,5615525
708,2964388,14,2,0,809,2167560,40,1,1,1,0,13245850
709,7922469,13,9,0,377,4059315,2,2,0,1,1,8138040
710,4978029,14,6,1,581,2948965,48,5,1,0,0,8285500
711,9997543,9,5,0,655,1775953,31,3,0,0,0,9572855
712,2186249,11,3,0,724,705555,35,1,0,1,1,6333480
713,8866567,14,8,1,794,3490357,6,3,1,0,0,8612905
714,7143321,9,9,0,320,1161117,24,1,0,1,0,11075925
715,3726885,10,4,0,893,3841060,14,3,0,1,1,8867675
716,9685538,14,9,0,487,3198986,28,2,0,0,0,13022835
717,2939590,9,1,1,437,4696585,32,3,1,0,0,5738530
718,8952466,14,4,1,368,2655132,30,6,1,0,1,11066435
719,3674068,8,7,1,692,4408899,45,8,0,1,1,9375025
720,5142953,7,7,0,375,1630253,9,1,0,0,0,10991610
721,5649425,14,6,1,380,626158,12,10,1,1,1,9159310
722,1028549,9,3,0,673,3984629,11,1,1,1,0,7241235
723,3083082,9,2,0,652,2999192,33,10,0,1,0,7358400
724,6171612,14,5,0,434,4106242,20,4,1,0,0,10193720
725,9758123,11,1,0,762,2008484,36,5,1,0,1,6592995
726,6244036,13,4,0,434,3032341,29,9,1,1,0,7057640
727,6916898,7,6,1,865,1794264,24,4,1,0,0,9642205
728,6583762,11,3,0,867,763553,31,10,0,0,1,6825500
729,7396231,9,7,1,579,3754646,48,6,1,0,0,8735910
730,6512199,11,5,0,775,2954356,17,2,1,0,0,10870430
731,9189748,7,2,0,300,3928353,29,7,1,0,0,6900325
732,3895703,6,8,1,692,4204872,25,3,0,1,1,9986765
733,5492223,9,2,1,444,3700178,46,3,1,1,0,7922325
734,2728789,14,4,0,335,718762,23,1,1,0,0,7405850
735,3314973,11,9,0,650,46502,49,3,0,0,1,5454560
736,8122117,8,2,0,391,4774991,35,3,0,0,0,12373865
737,1958985,6,1,0,862,1043985,18,9,1,0,0,11751905
738,2600135,10,1,0,657,2101011,43,6,0,1,0,8274550
739,4983692,10,8,0,739,2668910,41,2,0,0,0,9729440
740,1988431,9,6,0,738,3943320,1,7,0,1,1,7372635
741,5297240,9,1,0,499,1909192,30,2,1,0,1,5485950
742,8324976,6,7,0,307,890076,18,10,1,0,0,7294890
743,4251196,9,6,1,452,2816082,41,1,0,1,1,12196110
744,5469993,10,7,1,572,1130370,3,1,0,0,0,10744140
745,6923783,7,7,1,757,4511214,48,8,1,0,1,9354585
746,9165367,9,5,1,898,89244,18,9,0,1,1,8227830
747,4145743,7,9,1,621,1993451,17,7,0,1,0,8711820
748,9148274,10,8,1,695,4653610,38,9,1,1,0,10524410
749,1915865,7,9,0,692,4069083,40,7,0,1,0,8904540
750,9552309,9,4,1,530,3056789,28,3,0,0,1,10537915
751,1719235,12,3,1,887,2426067,48,3,0,0,0,8114680
752,1926508,11,4,1,815,197421,12,9,0,0,1,6474005
753,5441667,10,7,1,662,4386323,12,1,1,0,1,10999640
754,1252780,7,8,0,370,1647795,46,9,1,0,1,12639950
755,3206923,6,4,1,860,3063250,11,7,0,0,1,9775430
756,4545468,13,2,0,803,2604958,12,5,1,1,0,8934105
757,1325669,6,1,1,700,2389065,41,2,0,0,0,10874080
758,7801188,13,1,1,551,1282301,49,6,0,0,1,10799620
759,4798069,9,4,0,403,2846410,47,1,0,0,0,9580155
760,8862462,6,5,0,455,4537405,2,9,1,1,1,8879720
761,7897178,14,5,1,347,1261894,10,6,0,1,0,6704320
762,9406951,6,5,1,885,3778631,14,1,0,1,1,13919640
763,8043774,10,2,0,506,1361488,10,3,1,0,1,9859745
764,7642259,7,2,1,842,106581,37,4,0,1,1,9174275
765,5824810,13,7,0,839,760589,26,9,0,0,1,10887220
766,2379495,11,4,0,756,2784698,45,1,0,0,1,6368520
767,1513465,11,9,0,778,4420043,47,8,1,0,1,8228925
768,735260,10,8,0,442,3079976,22,6,0,1,0,7916850
769,6015303,6,8,0,759,2673964,1,3,1,1,0,14012350
770,2141740,10,9,1,727,640774,27,1,1,1,0,5932345
771,8754433,8,7,0,454,2817232,49,6,1,0,0,10117800
772,8392794,12,2,1,326,3250008,40,8,0,0,0,9289980
773,9340879,11,1,0,558,677661,23,10,0,0,0,8381860
774,7331674,12,7,0,312,1743790,41,6,0,1,1,8361420
775,2006644,6,3,1,319,3540212,7,4,1,0,1,9066965
776,3352061,14,2,1,511,4452230,5,5,0,1,1,4822380
777,5830314,6,1,0,583,1335061,9,7,0,1,1,8349375
778,9810476,12,9,1,556,3147041,15,2,1,1,0,7054720
779,6985013,11,1,1,578,2842258,35,10,0,0,0,4182900
780,4777188,13,4,1,321,1930339,27,1,1,1,1,13230520
781,8775155,7,8,0,332,2035997,41,4,1,1,1,9680530
782,819821,13,1,0,334,3187178,37,1,0,1,0,7616455
783,7092683,14,2,1,888,3699901,5,8,1,0,1,7285400
784,9747307,10,6,0,504,2245218,37,3,1,1,0,7621200
785,7020542,8,2,1,606,2078923,34,5,1,0,1,6140760
786,4137503,14,7,0,443,2004461,16,6,1,0,0,8165050
787,9860321,8,3,1,588,3568611,43,3,0,1,0,13950300
788,6384112,6,8,0,743,2531246,14,6,0,1,1,6018850
789,2691481,7,3,1,852,3278084,0,9,1,0,1,9124270
790,9931307,9,1,1,580,4253643,10,5,0,1,0,5628300
791,7956853,8,7,0,789,485621,42,5,1,1,1,9734915
792,4510705,13,1,1,545,3175216,48,7,1,0,0,9232310
793,8272372,7,6,0,605,557561,16,7,0,1,1,5726850
794,4850760,7,4,0,302,1235449,10,2,0,0,1,9245815
795,2830064,9,3,0,797,1510097,47,7,1,1,1,5115840
796,3051054,7,8,0,452,2760903,49,9,1,0,1,7563895
797,5690016,11,9,0,897,1596127,34,9,0,1,1,13754660
798,1527568,7,1,0,396,1842557,47,1,0,0,1,7307665
799,1415474,8,2,1,754,719120,18,7,1,0,0,11985870
800,5055336,11,9,1,436,4343199,8,5,0,1,1,11080305
801,7509841,13,2,1,359,4681341,3,5,0,0,1,7572655
802,1634576,11,1,0,575,1533005,2,9,0,0,0,7136115
803,6669022,14,1,1,497,793158,2,1,0,1,0,7394535
804,4795068,8,3,1,667,2008660,2,4,0,1,1,5941470
805,6817195,10,3,0,437,1448878,39,6,1,0,0,7173345
806,2160905,13,3,0,841,3401519,14,5,1,1,1,7915755
807,5509472,9,7,1,444,3998428,0,8,1,0,1,6908720
808,4270707,10,3,1,744,3116686,12,10,0,0,1,6672930
809,936955,9,3,0,848,4631520,41,2,1,1,1,10027645
810,1031688,8,1,1,528,2874596,7,4,0,0,0,12165085
811,8432371,6,2,0,338,3607238,20,10,0,1,0,4548630
812,7998494,6,4,1,513,1022071,12,4,0,1,0,10617120
813,9570332,7,5,0,798,2362965,22,3,0,0,1,9929095
814,7949941,6,2,0,695,3412716,41,5,0,1,0,11006210
815,1070148,9,8,1,457,3582621,34,3,0,0,1,9151645
816,3953725,12,3,1,316,3967835,38,1,0,0,0,10503240
817,7816367,8,9,1,599,4582505,40,1,1,1,1,13883870
818,674931,10,1,0,499,3058754,18,7,0,0,0,9803900
819,7736421,14,7,1,570,4951894,13,10,0,0,0,6946680
820,5356979,9,6,0,386,2941424,14,1,1,0,0,14119660
821,8114321,8,2,0,674,3083787,29,7,0,1,1,6616355
822,3405268,10,8,0,783,2002279,11,3,0,0,0,7909915
823,6130769,12,8,0,481,3562922,27,4,1,0,1,9616290
824,8194069,9,5,0,864,1446007,2,2,1,1,0,8916220
825,5126614,13,2,0,812,1536986,37,3,1,1,1,11255870
826,4195980,14,3,0,337,188915,16,2,1,0,1,5739625
827,9894700,10,3,1,341,1292416,33,6,1,1,0,12461465
828,1057737,8,9,1,873,3532718,17,6,0,1,1,8507055
829,5402424,10,5,0,879,2771783,38,10,1,0,0,14947115
830,733997,12,6,1,724,4973063,25,7,0,0,0,6936825
831,9969169,10,2,1,617,3339687,33,5,1,1,0,12961150
832,6289983,7,4,0,488,3480836,3,1,0,0,1,8984840
833,661006,7,7,0,808,213104,19,7,1,1,0,6318150
834,4417529,7,4,0,673,3634354,26,7,0,0,0,6842290
835,6453537,6,6,0,675,4232636,41,8,0,0,0,10678440
836,6489157,9,6,1,848,1552105,21,4,1,0,1,8515450
837,6688545,10,5,1,664,4613010,18,1,1,0,1,9091420
838,2251745,8,2,0,547,69622,34,5,1,0,0,11822715
839,6072975,8,1,0,477,1196471,8,1,1,1,0,9916320
840,9553067,8,1,1,508,2348314,38,9,0,1,0,7772675
841,3609517,11,2,1,626,121499,11,4,0,1,0,5852775
842,9061347,9,2,1,318,1984723,42,2,0,1,1,12217280
843,8598818,10,9,0,619,4704696,16,3,0,0,1,7491990
844,3418446,14,4,1,462,4774534,48,6,0,0,1,7942035
845,9880079,10,8,1,441,4617166,46,1,1,0,0,10645225
846,1547917,6,4,0,652,1211560,15,1,0,1,0,11035410
847,1908768,13,8,0,412,593476,45,1,1,0,0,8005910
848,8815121,13,8,0,432,867248,2,6,0,1,1,8479680
849,3531324,14,9,0,559,1825075,7,3,0,0,1,9517740
850,9868425,13,1,0,549,4252678,26,7,1,1,1,6556860
851,4588552,13,4,1,816,2927684,26,10,0,1,1,12221660
852,9004524,6,5,1,823,4647658,47,3,1,1,0,12296850
853,5205272,9,7,0,810,1112868,5,8,0,0,1,10983945
854,1863122,9,7,0,434,1355829,3,7,1,0,1,8306670
855,2063368,13,8,1,658,3757395,19,10,1,1,1,8427485
856,1316409,11,1,1,510,548161,40,8,0,1,1,10403595
857,5246517,6,4,0,591,1865009,26,9,1,0,1,7303285
858,6360706,12,3,0,859,2138378,34,1,0,1,1,8594290
859,4768151,12,5,0,622,2143343,27,9,1,0,0,8284770
860,881542,8,6,0,569,2108192,9,5,1,1,0,9691480
861,8260617,14,3,1,659,2021265,49,7,0,0,1,12775365
862,6527692,9,1,1,306,1874120,6,9,1,1,0,7112390
863,8008959,13,6,0,321,1511436,25,7,0,0,1,4410660
864,7601663,13,9,0,878,4251461,35,9,0,1,1,7867210
865,1099628,14,1,1,533,630516,17,6,1,1,0,6839735
866,8570807,12,5,1,710,1208051,35,7,1,0,0,7100345
867,3970371,9,6,0,557,890934,1,8,0,0,0,9380865
868,3511244,14,9,1,441,2098049,28,7,0,0,1,8971335
869,7109977,7,1,1,322,3885698,47,7,0,0,0,7166045
870,3786585,11,4,0,569,2153243,5,3,0,0,0,10368190
871,6266304,6,1,1,823,675407,18,1,1,0,1,10628435
872,5805965,14,7,0,868,1853331,48,8,1,1,0,9987860
